PTNUM,DyadID,mth,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,UsrID
8074,1,3,1,1,6,2,6,1,2,2,2,1,5,1,1,1,6,1,5,1,6,1,2,1,2,1,6,1,7,1,5,2,7,1,7,2,5,5,80741
8074,1,6,1,7,7,4,7,1,1,2,1,1,7,1,1,1,7,1,7,1,7,1,1,7,1,1,7,1,7,1,5,1,7,1,7,2,7,2,80741
8074,1,9,2,7,7,2,7,1,1,1,1,1,7,1,1,1,6,1,7,1,7,1,6,1,1,1,6,1,6,1,6,1,7,1,7,4,7,4,80741
8074,1,12,2,7,6,4,7,2,6,2,2,1,7,1,2,1,6,2,7,1,7,1,2,1,2,1,6,1,7,2,7,1,7,1,7,2,6,4,80741
8075,0,0,6,3,7,5,7,6,1,5,6,7,7,6,1,7,3,6,3,5,7,7,5,1,1,7,5,5,3,4,4,1,5,1,6,5,3,6,80750
8075,0,3,7,2,7,6,7,5,1,5,1,5,7,5,1,6,7,5,4,5,7,5,3,2,2,6,7,5,6,3,5,3,7,3,5,3,5,6,80750
8075,0,6,2,2,7,6,7,7,7,6,2,6,2,1,1,6,7,6,7,5,6,7,2,5,2,7,7,4,7,4,6,1,7,2,7,2,5,7,80750
8075,0,9,4,7,7,7,7,7,1,7,1,7,1,4,1,7,7,6,3,7,4,7,3,1,1,7,7,6,6,4,6,3,7,2,5,7,4,7,80750
8075,0,12,2,2,6,6,7,6,2,5,2,6,6,2,2,6,6,5,5,6,6,6,5,2,2,7,7,6,6,4,5,5,6,3,6,7,5,7,80750
8075,1,0,5,2,6,5,7,7,1,7,5,7,7,7,2,6,7,6,1,5,5,7,7,1,1,6,7,2,7,1,1,1,7,1,7,5,3,7,80751
8075,1,3,1,3,6,5,7,7,3,6,1,1,7,1,3,5,7,5,2,3,5,6,4,3,1,3,6,1,7,1,4,4,7,1,7,1,7,1,80751
8075,1,6,1,3,6,6,7,7,1,5,2,1,6,1,2,7,7,4,1,2,6,7,2,5,1,2,7,7,7,1,4,1,7,1,7,7,7,1,80751
8075,1,9,1,1,6,6,7,5,2,6,2,5,7,1,1,5,7,1,1,3,5,6,2,4,2,3,7,2,7,1,4,4,7,1,7,5,7,1,80751
8075,1,12,1,2,7,7,7,5,2,5,1,7,1,7,1,4,7,1,1,5,6,6,7,2,1,5,7,3,7,1,1,3,7,1,7,5,7,1,80751
8076,0,0,2,6,6,2,7,7,2,4,1,6,3,1,1,1,6,1,1,1,5,2,2,7,1,5,5,5,5,1,1,1,6,1,4,1,5,1,80760
8076,1,0,3,6,6,1,7,2,2,1,3,1,6,1,1,1,3,1,2,1,7,2,2,7,2,2,5,2,5,6,5,2,5,1,7,1,7,1,80761
8077,0,0,2,6,6,2,6,4,3,4,2,1,6,1,2,2,6,1,6,1,6,2,2,7,1,1,6,1,6,1,6,1,7,1,7,1,7,2,80770
8077,1,0,3,5,5,7,6,7,6,7,1,4,2,6,5,7,5,7,2,7,4,2,6,1,1,1,6,4,6,5,2,5,7,4,4,7,3,7,80771
8078,0,0,3,5,5,5,5,5,2,4,5,6,5,5,1,4,5,5,5,3,4,3,5,5,1,1,5,6,6,2,3,1,6,4,5,3,5,3,80780
8078,0,3,6,4,4,2,4,2,1,4,5,6,4,5,3,6,4,1,4,6,4,4,3,5,3,3,4,5,5,3,4,2,6,5,5,4,4,3,80780
8078,0,6,3,5,7,4,6,5,2,5,2,7,3,4,2,1,6,5,5,5,5,5,3,5,2,3,6,5,6,5,5,4,7,5,6,5,5,4,80780
8078,1,0,5,6,3,6,3,7,5,5,6,6,5,6,5,5,5,5,2,5,5,5,6,2,5,5,3,5,5,7,5,1,5,3,3,6,2,6,80781
8078,1,3,5,3,3,5,6,5,5,5,5,4,3,4,5,6,5,6,5,5,3,6,5,6,5,2,4,5,5,4,1,2,4,4,3,5,4,5,80781
8078,1,6,3,5,5,5,5,5,6,5,5,5,5,3,3,5,5,5,3,5,5,6,5,3,5,3,5,3,5,3,2,1,5,1,5,3,5,5,80781
8078,1,9,5,3,3,5,5,6,5,5,5,6,5,6,5,5,5,5,2,5,5,6,6,5,5,3,5,5,5,3,3,3,5,2,5,6,3,5,80781
8078,1,12,5,3,5,5,5,7,3,6,5,5,5,3,3,5,3,5,2,3,3,6,6,2,3,5,5,5,5,3,2,1,5,1,5,5,5,5,80781
8079,0,0,2,1,6,2,7,5,1,1,1,6,7,7,1,1,7,2,4,1,6,2,4,7,6,7,7,2,7,4,4,1,7,1,4,2,3,3,80790
8082,0,0,2,6,3,2,2,3,2,2,5,2,3,2,2,2,6,2,2,2,5,2,6,6,3,1,6,2,6,2,3,3,6,1,5,2,6,2,80820
8082,0,3,6,6,3,2,3,3,5,3,6,3,2,2,2,2,2,3,6,3,4,5,3,6,3,2,4,3,5,3,5,2,5,2,4,2,5,5,80820
8082,0,6,6,6,3,2,2,4,5,2,6,2,5,2,5,2,5,2,6,2,2,2,6,6,4,2,6,2,5,4,6,5,6,2,6,2,6,5,80820
8082,0,9,5,7,6,2,2,2,2,2,5,2,4,2,2,2,2,2,6,2,6,2,3,6,4,1,5,2,5,2,5,2,5,2,5,2,6,2,80820
8082,0,12,5,6,3,2,2,2,4,5,5,2,4,2,2,5,2,2,5,2,5,2,5,5,5,2,2,2,4,2,4,2,5,2,4,2,3,2,80820
8082,1,0,2,2,5,5,5,7,1,6,3,3,6,4,2,4,6,2,6,5,6,5,2,4,1,4,7,3,6,2,5,3,6,4,6,4,5,4,80821
8082,1,3,4,5,6,6,6,6,3,4,3,5,5,4,3,5,6,4,5,4,5,4,2,6,1,3,5,3,5,4,5,4,6,6,3,3,3,4,80821
8082,1,6,2,4,6,6,6,6,2,4,3,5,5,5,2,4,6,2,6,4,5,4,2,4,2,2,6,4,5,2,5,2,5,4,5,2,4,4,80821
8082,1,9,2,4,6,5,6,6,2,4,3,5,6,4,2,2,6,2,6,4,5,3,2,2,2,2,7,2,7,2,5,2,6,2,6,2,5,2,80821
8082,1,12,2,4,6,5,6,4,2,4,2,4,6,4,2,4,6,2,6,5,6,2,2,4,2,4,7,2,6,4,6,2,6,3,6,2,5,4,80821
8083,0,0,1,7,7,4,7,7,1,1,1,7,7,7,1,1,7,1,4,1,7,4,7,7,1,7,7,4,7,1,7,4,7,1,7,1,7,1,80830
8083,0,3,NA,7,7,1,7,1,7,1,1,4,7,7,1,1,7,1,7,1,7,1,1,7,1,4,7,1,7,1,7,1,7,1,7,1,7,1,80830
8083,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80830
8083,0,9,1,7,7,1,7,4,1,1,1,4,1,1,4,3,7,1,7,1,7,4,1,4,1,1,7,1,7,7,7,1,7,4,7,1,1,1,80830
8083,0,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,80830
8083,1,0,4,3,7,5,7,4,1,3,4,4,1,7,1,5,6,5,7,5,7,5,3,7,1,7,6,5,5,3,6,3,6,3,7,3,7,3,80831
8083,1,3,1,4,7,5,7,5,1,6,2,7,1,5,1,6,4,2,7,6,6,5,1,4,1,6,6,4,4,6,6,4,5,6,6,5,6,5,80831
8083,1,6,1,3,NA,4,7,4,4,5,4,4,4,7,4,5,5,3,4,5,5,5,4,2,4,5,5,4,5,4,5,4,4,4,7,5,6,5,80831
